datumivreme,temperatura,vlaznost,pritisak,temperaturaBah,vlaznostBah,pritisakBah,temperaturaBul,vlaznostBul,pritisakBul,temperaturaCro,vlaznostCro,pritisakCro,temperaturaHun,vlaznostHun,pritisakHun,temperaturaMac,vlaznostMac,pritisakMac,temperaturaMon,vlaznostMon,pritisakMon,temperaturaRom,vlaznostRom,pritisakRom
1/1/18 00:00,2,0.81,1016,1,0.93,1016,-1,1,1019,9,0.82,1014,2,1,1014,-2,0.93,1021,1,0.87,1022,1,0.81,1016
1/1/18 01:00,2,0.81,1016,1,0.93,1016,-1,1,1019,10,0.76,1014,0,1,1013,-2,0.93,1021,0,0.93,1022,1,0.81,1016
1/1/18 01:30,2,0.81,1016,0,1,1016,-2,1,1019,10,0.76,1013,0,1,1013,-3,0.93,1021,0,0.87,1022,1,0.87,1016
1/1/18 02:00,1,0.87,1016,1,0.93,1016,-2,1,1019,9,0.82,1013,1,1,1013,-3,0.93,1021,1,0.81,1022,2,0.81,1016
1/1/18 02:30,1,0.87,1016,1,0.93,1016,-2,0.93,1019,9,0.82,1013,1,1,1013,-3,0.93,1021,0,0.93,1022,2,0.81,1015
1/1/18 03:00,0,0.93,1015,1,0.93,1015,-2,0.93,1019,9,0.82,1013,1,1,1013,-3,0.86,1020,0,0.87,1022,2,0.81,1016
1/1/18 03:30,-1,0.93,1015,1,0.93,1015,-4,1,1019,10,0.76,1012,0,1,1012,-4,0.93,1020,0,0.87,1022,2,0.81,1016
1/1/18 04:00,-2,0.93,1015,1,0.93,1014,-4,1,1018,9,0.82,1012,1,1,1012,-4,0.93,1020,0,0.93,1022,2,0.81,1016
1/1/18 04:30,-2,0.93,1015,2,0.87,1014,-3,1,1018,9,0.82,1012,1,1,1012,-4,0.93,1020,0,0.93,1022,1,0.87,1015
1/1/18 05:00,-2,1,1015,2,0.93,1014,-3,1,1018,9,0.76,1011,1,1,1012,-3,0.93,1020,0,0.87,1022,1,0.87,1015
1/1/18 05:30,-1,0.93,1015,2,0.93,1014,-2,1,1017,10,0.76,1011,-1,1,1011,-4,0.93,1020,-1,0.93,1022,1,0.87,1015
1/1/18 06:00,-1,0.93,1015,3,0.87,1013,-2,0.93,1017,11,0.72,1010,-1,1,1011,-4,0.86,1019,-1,0.93,1022,0,0.93,1015
1/1/18 06:30,-1,0.93,1015,3,0.87,1013,-4,1,1018,11,0.72,1011,-2,1,1011,-5,0.93,1019,-1,0.93,1021,0,0.93,1015
1/1/18 07:00,-1,0.86,1015,3,0.87,1013,-4,1,1017,11,0.72,1011,-1,1,1011,-5,0.93,1019,0,0.87,1021,0,0.93,1015
1/1/18 07:30,0,0.87,1015,3,0.87,1013,-5,1,1017,11,0.72,1011,0,1,1011,-5,0.93,1019,0,0.87,1021,0,0.93,1015
1/1/18 08:00,1,0.87,1015,3,0.93,1013,-6,1,1017,10,0.76,1011,0,1,1011,-5,0.93,1019,0,0.93,1021,0,0.93,1015
1/1/18 08:30,2,0.81,1015,4,0.87,1013,-4,1,1017,10,0.76,1011,0,1,1011,-3,0.93,1019,1,0.87,1021,-1,1,1015
1/1/18 09:00,2,0.81,1015,9,0.82,1013,-4,1,1017,10,0.76,1012,0,1,1011,-2,0.86,1019,2,0.87,1021,0,1,1015
1/1/18 09:30,3,0.75,1015,10,0.67,1014,-3,1,1017,9,0.76,1012,1,1,1011,-1,0.93,1019,3,0.81,1021,1,0.93,1015
1/1/18 10:00,4,0.75,1015,10,0.62,1014,0,0.87,1017,10,0.76,1012,1,1,1011,0,0.87,1019,3,0.87,1021,2,0.87,1015
1/1/18 10:30,4,0.75,1016,10,0.62,1013,0,0.8,1017,9,0.82,1012,1,1,1011,0,0.87,1019,4,0.81,1021,2,0.87,1016
1/1/18 11:00,5,0.76,1015,11,0.58,1013,0,0.8,1017,10,0.76,1012,2,1,1011,1,0.87,1018,4,0.81,1021,4,0.75,1016
1/1/18 11:30,6,0.76,1015,11,0.58,1013,2,0.75,1017,10,0.82,1011,3,1,1011,2,0.81,1018,4,0.81,1020,5,0.7,1015
1/1/18 12:00,8,0.66,1014,10,0.62,1012,4,0.65,1016,10,0.82,1011,3,1,1011,3,0.81,1018,5,0.76,1020,7,0.61,1015
1/1/18 12:30,8,0.66,1014,10,0.62,1012,6,0.66,1016,11,0.77,1011,2,1,1011,3,0.75,1017,5,0.76,1020,8,0.62,1015
1/1/18 13:00,9,0.62,1014,12,0.58,1011,6,0.61,1016,11,0.77,1011,4,0.93,1011,3,0.81,1017,6,0.71,1019,10,0.5,1014
1/1/18 13:30,10,0.58,1013,12,0.58,1011,7,0.57,1015,11,0.77,1010,4,0.93,1011,4,0.87,1017,5,0.81,1019,10,0.5,1014
1/1/18 14:00,10,0.58,1013,10,0.67,1011,7,0.57,1015,11,0.77,1010,5,0.93,1011,3,0.81,1016,5,0.76,1019,11,0.47,1014
1/1/18 14:30,10,0.58,1013,10,0.67,1010,8,0.57,1015,11,0.77,1010,6,0.87,1010,4,0.75,1016,5,0.76,1018,11,0.47,1014
1/1/18 15:00,10,0.58,1012,8,0.76,1010,9,0.54,1014,12,0.67,1009,5,0.87,1010,4,0.81,1016,6,0.71,1018,12,0.47,1013
1/1/18 15:30,10,0.58,1012,8,0.76,1010,9,0.54,1014,11,0.72,1009,5,0.87,1010,3,0.81,1016,6,0.71,1017,12,0.47,1013
1/1/18 16:00,9,0.66,1012,8,0.76,1009,8,0.62,1014,10,0.76,1009,5,0.93,1011,3,0.81,1016,6,0.71,1017,11,0.5,1013
1/1/18 16:30,9,0.66,1012,7,0.81,1009,8,0.62,1013,9,0.87,1009,5,0.93,1011,2,0.87,1015,5,0.81,1017,11,0.5,1013
1/1/18 17:00,9,0.66,1011,7,0.81,1009,8,0.62,1013,8,0.87,1010,5,0.93,1011,2,0.87,1015,5,0.87,1016,11,0.5,1013
1/1/18 17:30,9,0.66,1011,7,0.81,1008,6,0.76,1013,7,0.87,1010,5,0.87,1011,2,0.81,1015,5,0.87,1016,8,0.66,1013
1/1/18 18:00,9,0.66,1011,7,0.81,1008,3,0.75,1013,7,0.87,1009,4,0.93,1011,2,0.81,1015,5,0.87,1015,8,0.66,1013
1/1/18 18:30,9,0.66,1010,6,0.87,1008,4,0.81,1013,7,0.87,1009,3,1,1010,1,0.87,1015,5,0.87,1015,5,0.81,1012
1/1/18 19:00,8,0.71,1010,6,0.87,1008,2,0.87,1013,6,0.93,1010,3,1,1010,1,0.87,1014,5,0.87,1015,6,0.81,1012
1/1/18 19:30,8,0.71,1010,6,0.87,1008,1,0.87,1013,6,0.93,1009,4,0.93,1010,1,0.87,1014,5,0.93,1014,3,0.93,1012
1/1/18 20:00,7,0.76,1009,7,0.81,1008,2,0.87,1013,6,0.93,1009,3,1,1010,0,0.87,1014,5,0.93,1014,4,0.93,1012
1/1/18 20:30,6,0.81,1009,7,0.81,1008,2,0.93,1012,6,0.93,1008,2,1,1010,0,0.87,1014,5,0.93,1013,3,1,1012
1/1/18 21:00,7,0.76,1008,7,0.81,1007,1,0.93,1012,6,0.93,1008,2,1,1009,-1,0.93,1014,5,0.93,1012,4,0.93,1012
1/1/18 21:30,8,0.71,1008,7,0.81,1007,1,0.93,1012,6,0.93,1008,2,0.93,1009,-1,0.93,1013,5,0.93,1012,2,0.93,1012
1/1/18 22:00,6,0.81,1007,6,0.87,1007,0,1,1012,7,0.87,1007,1,0.93,1009,-1,0.93,1013,4,1,1010,1,1,1012
1/1/18 22:30,6,0.81,1007,6,0.93,1006,0,1,1011,6,0.93,1007,1,1,1009,-2,0.93,1013,5,0.93,1010,2,1,1011
1/1/18 23:00,6,0.81,1007,6,0.93,1006,0,0.93,1011,7,0.87,1007,2,1,1009,-2,0.93,1013,5,0.93,1010,2,1,1011
